time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-06T16:07:46.570Z,36.1056667,-117.8795,5.33,1.03,ml,15,190,0.02323,0.19,ci,ci38385298,2020-03-06T16:11:24.102Z,"9km NE of Coso Junction, CA",earthquake,0.55,0.75,0.307,15,automatic,ci,ci
2020-03-06T16:05:08.450Z,37.9239998,-122.4410019,13.2,2.86,md,7,185,0.3178,0.23,nc,nc73350495,2020-03-06T17:00:25.069Z,"6km NNE of Tiburon, CA",earthquake,2.46,2.25,1.52,4,automatic,nc,nc
2020-03-06T16:05:04.610Z,19.2159996,-155.4266663,32.44,1.93,md,33,139,0.03489,0.18,hv,hv71414952,2020-03-06T16:08:16.240Z,"5km ENE of Pahala, Hawaii",earthquake,0.73,1.06,0.08,4,automatic,hv,hv
2020-03-06T15:51:47.363Z,52.0458,-176.1223,10,4,mb,,157,0.06,0.79,us,us60008b40,2020-03-06T17:25:08.833Z,"41km ENE of Adak, Alaska",earthquake,8.3,2,0.119,19,reviewed,us,us
2020-03-06T15:48:45.120Z,35.8525,-117.7106667,5.61,0.74,ml,10,81,0.06216,0.1,ci,ci38385266,2020-03-06T15:52:21.433Z,"20km ESE of Little Lake, CA",earthquake,0.27,0.81,0.241,8,automatic,ci,ci
2020-03-06T15:39:31.220Z,33.6655,-116.7145,14.96,0.52,ml,16,100,0.04555,0.11,ci,ci38385258,2020-03-06T17:51:43.751Z,"8km S of Idyllwild, CA",earthquake,0.37,0.64,0.076,9,reviewed,ci,ci
2020-03-06T15:39:00.070Z,36.6054993,-121.2129974,6.7,2.55,md,42,67,,0.1,nc,nc73350490,2020-03-06T17:54:02.205Z,"10km NW of Pinnacles, CA",earthquake,0.23,0.58,0.18,45,automatic,nc,nc
2020-03-06T15:38:29.510Z,36.6051674,-121.2133331,6.09,1.55,md,9,175,0.04026,0.12,nc,nc73350485,2020-03-06T17:36:03.616Z,"10km NW of Pinnacles, CA",earthquake,0.86,1.3,0.26,7,automatic,nc,nc
2020-03-06T15:18:15.710Z,19.2198334,-155.4128265,32.41,2.03,md,45,141,0.02277,0.13,hv,hv71414877,2020-03-06T15:21:28.920Z,"7km ENE of Pahala, Hawaii",earthquake,0.68,0.87,0.2,11,automatic,hv,hv
2020-03-06T15:17:42.591Z,60.7498,-147.1622,17.3,3.3,ml,,,,0.62,ak,ak02031ei53p,2020-03-06T17:09:29.040Z,"61km SW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-06T15:13:32.050Z,38.8103333,-122.7906647,2.85,0.86,md,22,42,0.004326,0.02,nc,nc73350480,2020-03-06T15:42:03.331Z,"5km NW of The Geysers, CA",earthquake,0.23,0.48,0.28,3,automatic,nc,nc
2020-03-06T15:10:04.640Z,35.8998333,-117.6723333,10.35,0.22,ml,7,87,0.05117,0.05,ci,ci38385242,2020-03-06T15:13:50.067Z,"22km E of Little Lake, CA",earthquake,0.27,0.79,0.185,4,automatic,ci,ci
2020-03-06T15:05:54.050Z,34.5461667,-120.4868333,0.96,1.99,ml,18,182,0.1479,0.33,ci,ci38385234,2020-03-06T15:09:48.539Z,"11km SSW of Lompoc, CA",earthquake,1.41,31.61,0.121,25,automatic,ci,ci
2020-03-06T15:02:12.320Z,47.4901667,-113.7953333,17.24,-0.79,md,6,161,0.139,0.06,mb,mb80384299,2020-03-06T15:45:59.760Z,"23km E of Ronan, Montana",earthquake,0.42,0.84,,1,reviewed,mb,mb
2020-03-06T15:01:08.980Z,19.2121658,-155.4003296,33.9,2.01,md,50,153,0.02535,0.13,hv,hv71414862,2020-03-06T15:04:13.860Z,"8km E of Pahala, Hawaii",earthquake,0.49,0.92,0.16,12,automatic,hv,hv
2020-03-06T14:59:34.180Z,38.810833,-122.7908325,2.73,2.16,md,39,33,,0.05,nc,nc73350465,2020-03-06T16:49:02.794Z,"5km NW of The Geysers, CA",earthquake,0.19,0.3,0.12,18,automatic,nc,nc
2020-03-06T14:53:16.005Z,60.1943,-152.5674,102.6,1.9,ml,,,,0.53,ak,ak02031e4d8w,2020-03-06T14:56:34.228Z,"33km SSE of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-03-06T14:43:59.640Z,19.1245003,-155.4394989,41.88,2.35,md,26,265,0.03745,0.08,hv,hv71414837,2020-03-06T14:47:13.710Z,"9km SSE of Pahala, Hawaii",earthquake,1.43,2.06,0.16,3,automatic,hv,hv
2020-03-06T14:41:53.560Z,19.1603336,-155.4850006,22.98,1.97,md,38,122,0.02218,0.34,hv,hv71414832,2020-03-06T14:45:16.770Z,"5km S of Pahala, Hawaii",earthquake,1.19,3.25,0.13,5,automatic,hv,hv
2020-03-06T14:34:14.110Z,33.2215,-116.7398333,10.79,0.54,ml,20,85,0.08074,0.15,ci,ci38385194,2020-03-06T17:52:42.583Z,"3km SE of Lake Henshaw, CA",earthquake,0.35,0.66,0.053,8,reviewed,ci,ci
2020-03-06T14:32:53.330Z,36.5998344,-121.2111664,7.17,2.84,md,60,65,,0.2,nc,nc73350455,2020-03-06T16:31:03.362Z,"10km NW of Pinnacles, CA",earthquake,0.29,0.77,0.15,71,automatic,nc,nc
2020-03-06T14:19:24.590Z,35.8625,-117.6656667,10.79,0.75,ml,9,95,0.07242,0.14,ci,ci38385186,2020-03-06T14:22:53.268Z,"23km ESE of Little Lake, CA",earthquake,0.43,1.18,0.177,7,automatic,ci,ci
2020-03-06T14:13:13.087Z,60.946,-151.5028,65,1.1,ml,,,,0.48,ak,ak02031dvsdx,2020-03-06T14:18:16.535Z,"30km NNW of Nikiski, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-03-06T14:05:20.350Z,35.7843333,-117.5618333,4.61,1.04,ml,9,274,0.0427,0.14,ci,ci38385170,2020-03-06T14:09:08.175Z,"14km W of Searles Valley, CA",earthquake,0.97,0.59,0.188,14,automatic,ci,ci
2020-03-06T14:01:23.431Z,57.8903,-154.7276,63.7,1.6,ml,,,,1.41,ak,ak02031dt8mi,2020-03-06T14:03:52.887Z,"59km NW of Larsen Bay, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-03-06T14:00:51.430Z,38.7923317,-122.8103333,2.99,1.33,md,29,107,0.006944,0.03,nc,nc73350450,2020-03-06T16:13:03.515Z,"5km WNW of The Geysers, CA",earthquake,0.26,0.38,0.09,8,automatic,nc,nc
2020-03-06T13:51:04.250Z,33.2236667,-116.7171667,12.49,0.41,ml,18,54,0.03696,0.23,ci,ci38385162,2020-03-06T13:54:48.087Z,"5km ESE of Lake Henshaw, CA",earthquake,0.56,0.82,0.124,6,automatic,ci,ci
2020-03-06T13:48:33.520Z,19.2261658,-155.404007,30.74,1.84,md,40,146,0.01284,0.11,hv,hv71414792,2020-03-06T13:51:40.560Z,"8km ENE of Pahala, Hawaii",earthquake,0.71,0.9,0.09,6,automatic,hv,hv
2020-03-06T13:46:27.080Z,35.949,-117.6581667,2.72,0.87,ml,9,143,0.006413,0.05,ci,ci38385154,2020-03-06T13:50:00.061Z,"22km E of Little Lake, CA",earthquake,0.42,0.19,0.106,9,automatic,ci,ci
2020-03-06T13:34:24.620Z,37.6578333,-118.8541667,2.59,0.71,md,19,90,0.02458,0.07,nc,nc73350435,2020-03-06T17:49:02.174Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.26,0.58,0.283,17,reviewed,nc,nc
2020-03-06T13:31:33.490Z,37.66,-118.8513333,1.55,0.27,md,9,93,0.02519,0.04,nc,nc73350430,2020-03-06T17:40:02.987Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.37,0.89,0.27,8,reviewed,nc,nc
2020-03-06T13:25:52.440Z,35.6008333,-117.552,8.25,0.71,ml,5,219,0.1706,0.16,ci,ci38385146,2020-03-06T13:29:36.956Z,"11km E of Ridgecrest, CA",earthquake,2.51,31.61,0.097,8,automatic,ci,ci
2020-03-06T13:24:17.480Z,35.8856667,-117.6766667,11.91,0.58,ml,8,87,0.06567,0.12,ci,ci38385138,2020-03-06T13:27:51.945Z,"22km ESE of Little Lake, CA",earthquake,0.43,1.1,0.128,5,automatic,ci,ci
2020-03-06T13:20:01.850Z,35.6708333,-117.4651667,10.06,0.89,ml,15,156,0.1671,0.2,ci,ci38385130,2020-03-06T13:23:34.921Z,"12km SSW of Searles Valley, CA",earthquake,0.51,1.11,0.152,11,automatic,ci,ci
2020-03-06T13:10:28.770Z,35.8626667,-117.6641667,10.69,0.64,ml,10,96,0.0716,0.14,ci,ci38385122,2020-03-06T13:13:56.858Z,"23km ESE of Little Lake, CA",earthquake,0.41,1.29,0.164,6,automatic,ci,ci
2020-03-06T13:08:04.317Z,60.2411,-152.6622,109.7,1.6,ml,,,,0.76,ak,ak02031d99ki,2020-03-06T13:14:33.135Z,"27km S of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-06T13:00:42.320Z,35.8548333,-117.6558333,12.71,0.33,ml,6,101,0.06138,0.09,ci,ci38385114,2020-03-06T13:04:18.469Z,"24km ESE of Little Lake, CA",earthquake,0.45,0.77,0.108,4,automatic,ci,ci
2020-03-06T12:59:10.980Z,37.6601667,-118.8498333,2.04,0.29,md,9,97,0.02478,0.03,nc,nc73350425,2020-03-06T17:36:04.580Z,"12km ENE of Mammoth Lakes, CA",earthquake,0.45,0.97,0.27,8,reviewed,nc,nc
2020-03-06T12:56:44.380Z,35.8598333,-117.6823333,6.81,0.75,ml,11,82,0.08177,0.08,ci,ci38385106,2020-03-06T13:00:30.295Z,"22km ESE of Little Lake, CA",earthquake,0.22,0.68,0.201,9,automatic,ci,ci
2020-03-06T12:52:34.026Z,59.7955,-153.0077,102.4,1.4,ml,,,,0.21,ak,ak02031cxbpm,2020-03-06T12:54:47.152Z,"66km W of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-03-06T12:47:58.051Z,62.7566,-149.2004,65.4,1.8,ml,,,,1.09,ak,ak02031cwazc,2020-03-06T12:58:28.377Z,"67km NE of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2020-03-06T12:43:29.850Z,61.8978,-150.9263,41.4,1.4,ml,,,,0.38,ak,ak02031cvdyh,2020-03-06T12:48:05.367Z,"49km WNW of Willow, Alaska",earthquake,,3.6,,,automatic,ak,ak
2020-03-06T12:41:20.440Z,36.625,-121.0849991,1.23,1.48,md,5,232,0.05909,0.01,nc,nc73350415,2020-03-06T15:43:03.336Z,"12km NNE of Pinnacles, CA",earthquake,1.68,1.03,0.02,4,automatic,nc,nc
2020-03-06T12:40:43.370Z,17.9558,-68.3765,78,4.8,ml,13,203,0.9945,0.29,pr,pr2020066013,2020-03-06T15:32:22.805Z,"47km SSE of Boca de Yuma, Dominican Republic",earthquake,2.43,3.13,0.32,4,reviewed,pr,pr
2020-03-06T12:38:34.846Z,62.1094,-150.2959,17.4,1.7,ml,,,,0.37,ak,ak02031cubqr,2020-03-06T12:46:24.488Z,"23km WSW of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-06T12:33:45.388Z,62.1348,-150.4889,14.5,1.5,ml,,,,0.64,ak,ak02031ct9zi,2020-03-06T12:44:43.681Z,"28km SW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-06T12:28:43.562Z,64.4107,-147.3501,4.6,1.4,ml,,,,0.65,ak,ak02031cs78k,2020-03-06T12:32:29.354Z,"24km WSW of Salcha, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-06T12:21:08.550Z,35.7773333,-117.588,7.07,1.95,ml,24,79,0.0391,0.13,ci,ci38385082,2020-03-06T12:31:54.010Z,"17km W of Searles Valley, CA",earthquake,0.25,0.49,0.147,26,automatic,ci,ci
2020-03-06T12:12:36.060Z,19.2099991,-155.4178314,33.56,2.01,md,44,150,0.03343,0.13,hv,hv71414742,2020-03-06T12:15:37.260Z,"6km E of Pahala, Hawaii",earthquake,0.56,0.49,0.02,4,automatic,hv,hv
2020-03-06T12:03:09.130Z,38.8050003,-122.817337,3.35,0.32,md,11,70,0.01003,0.02,nc,nc73350405,2020-03-06T13:06:03.612Z,"6km WNW of The Geysers, CA",earthquake,0.4,0.73,0.24,2,automatic,nc,nc
2020-03-06T12:02:13.300Z,38.8321648,-122.819664,2.09,0.56,md,7,100,0.01152,0.01,nc,nc73350400,2020-03-06T12:54:02.539Z,"8km NW of The Geysers, CA",earthquake,0.44,1.63,,1,automatic,nc,nc
2020-03-06T11:55:38.430Z,35.8291667,-117.6511667,9.17,0.91,ml,11,122,0.09468,0.13,ci,ci38385074,2020-03-06T11:59:26.010Z,"23km N of Ridgecrest, CA",earthquake,0.39,1.1,0.165,8,automatic,ci,ci
2020-03-06T11:49:20.730Z,17.842,-66.853,7,2.42,md,7,255,0.1356,0.13,pr,pr2020066012,2020-03-06T13:16:13.927Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.7,0.37,0.07,3,reviewed,pr,pr
2020-03-06T11:48:51.900Z,37.6573333,-118.8538333,2.76,1.62,md,25,89,0.02403,0.07,nc,nc73350390,2020-03-06T17:33:03.433Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.22,0.32,0.236,24,reviewed,nc,nc
2020-03-06T11:48:01.260Z,38.8241653,-122.7969971,2.48,0.62,md,18,32,0.01024,0.03,nc,nc73350380,2020-03-06T12:19:04.317Z,"6km NW of The Geysers, CA",earthquake,0.26,0.52,0.08,3,automatic,nc,nc
2020-03-06T11:46:22.760Z,33.983,-116.8261667,11.79,0.76,ml,20,96,0.05421,0.15,ci,ci38385066,2020-03-06T11:50:06.539Z,"8km NE of Banning, CA",earthquake,0.33,0.76,0.091,24,automatic,ci,ci
2020-03-06T11:36:43.840Z,35.8421667,-117.66,4.73,1.13,ml,19,91,0.05722,0.17,ci,ci38385026,2020-03-06T11:40:26.329Z,"24km WNW of Searles Valley, CA",earthquake,0.27,0.58,0.156,15,automatic,ci,ci
2020-03-06T11:26:48.659Z,36.76,-98.06583333,8.01,1.93,ml,83,89,0,0.21,ok,ok2020epqj,2020-03-06T14:27:08.090Z,"25km E of Cherokee, Oklahoma",earthquake,,1.4,0.17,36,reviewed,ok,ok
2020-03-06T11:21:45.140Z,38.7921677,-122.7371674,0.2,1.16,md,17,93,0.01954,0.05,nc,nc73350370,2020-03-06T14:26:04.137Z,"2km NE of The Geysers, CA",earthquake,0.22,0.8,0.17,7,automatic,nc,nc
2020-03-06T11:16:50.600Z,35.7051667,-117.5815,10.53,0.95,ml,14,142,0.1111,0.14,ci,ci38384970,2020-03-06T11:20:25.863Z,"13km NE of Ridgecrest, CA",earthquake,0.27,0.56,0.154,10,automatic,ci,ci
2020-03-06T11:14:06.270Z,19.2428341,-155.4111633,34.3,2.4,ml,54,98,0.01396,0.12,hv,hv71414697,2020-03-06T11:19:40.590Z,"8km ENE of Pahala, Hawaii",earthquake,0.52,0.59,2.9,18,automatic,hv,hv
2020-03-06T11:13:50.010Z,38.7900009,-122.7350006,1.45,1.88,md,32,49,0.006887,0.06,nc,nc73350360,2020-03-06T13:56:02.931Z,"2km NE of The Geysers, CA",earthquake,0.2,0.31,0.05,11,automatic,nc,nc
2020-03-06T11:11:53.620Z,38.7898331,-122.7368317,1.36,2.36,md,53,48,,0.06,nc,nc73350355,2020-03-06T13:07:03.618Z,"2km NE of The Geysers, CA",earthquake,0.15,0.24,0.18,29,automatic,nc,nc
2020-03-06T11:11:51.330Z,19.185667,-155.4881592,30.17,2.58,ml,57,71,0.03888,0.18,hv,hv71414692,2020-03-06T11:17:25.500Z,"2km SSW of Pahala, Hawaii",earthquake,0.41,0.74,3.42,24,automatic,hv,hv
2020-03-06T10:40:38.884Z,61.1876,-151.7305,67.7,1.4,ml,,,,0.4,ak,ak02031bnwa3,2020-03-06T10:51:29.818Z,"60km NNW of Nikiski, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-06T10:36:39.470Z,33.2173333,-116.7458333,11.94,0.41,ml,14,56,0.02152,0.18,ci,ci38384962,2020-03-06T17:57:19.846Z,"3km SSE of Lake Henshaw, CA",earthquake,0.46,0.74,0.125,6,reviewed,ci,ci
2020-03-06T10:32:16.650Z,42.461,-111.3846667,1.85,2.03,ml,18,134,0.3696,0.19,uu,uu60362317,2020-03-06T17:14:08.440Z,"17km NNW of Montpelier, Idaho",earthquake,0.79,0.95,0.354,3,reviewed,uu,uu
2020-03-06T10:29:52.890Z,33.2246667,-116.7383333,11.11,0.28,ml,14,108,0.0205,0.12,ci,ci38384954,2020-03-06T17:57:34.524Z,"3km SE of Lake Henshaw, CA",earthquake,0.28,0.45,0.08,4,reviewed,ci,ci
2020-03-06T10:28:42.093Z,-31.3513,58.3249,10,5.9,mww,,35,10.399,0.6,us,us60008ay3,2020-03-06T14:54:46.040Z,"Southwest Indian Ridge",earthquake,9.3,1.8,0.073,18,reviewed,us,us
2020-03-06T10:23:39.570Z,35.931,-117.702,4.55,0.56,ml,10,96,0.04516,0.06,ci,ci38384946,2020-03-06T10:27:15.134Z,"18km E of Little Lake, CA",earthquake,0.23,0.53,0.075,6,automatic,ci,ci
2020-03-06T10:21:04.970Z,19.4001675,-155.2610016,1,2.01,ml,17,89,0.00512,0.21,hv,hv71414647,2020-03-06T10:26:40.320Z,"4km SW of Volcano, Hawaii",earthquake,0.24,0.19,0.35,17,automatic,hv,hv
2020-03-06T10:19:15.960Z,19.4063339,-155.2546692,0.36,2.01,ml,27,79,0.007544,0.17,hv,hv71414642,2020-03-06T10:24:49.940Z,"3km SSW of Volcano, Hawaii",earthquake,0.17,0.2,0.26,13,automatic,hv,hv
2020-03-06T10:18:06.410Z,46.2876667,-111.0733333,0.87,1.17,ml,9,263,0.167,0.14,mb,mb80384304,2020-03-06T16:08:27.920Z,"31km SSW of White Sulphur Springs, Montana",earthquake,1.24,1.01,0.179,4,reviewed,mb,mb
2020-03-06T10:15:55.850Z,36.0503333,-117.8701667,2.46,0.65,ml,10,168,0.04556,0.1,ci,ci38384938,2020-03-06T10:19:37.084Z,"7km E of Coso Junction, CA",earthquake,0.5,0.34,0.285,7,automatic,ci,ci
2020-03-06T10:14:45.359Z,36.7625,-98.0675,8.77,2.32,ml,97,82,0,0.23,ok,ok2020epnz,2020-03-06T14:20:22.238Z,"25km E of Cherokee, Oklahoma",earthquake,,1.3,0.17,43,reviewed,ok,ok
2020-03-06T10:10:23.520Z,17.926,-66.8146,13,3.07,md,7,227,0.0811,0.09,pr,pr2020066011,2020-03-06T11:44:50.512Z,"7km S of Indios, Puerto Rico",earthquake,1.15,0.39,0.13,4,reviewed,pr,pr
2020-03-06T10:09:37.586Z,63.2291,-151.4001,154,3.5,ml,,,,0.52,ak,ak02031bh8x1,2020-03-06T11:39:47.040Z,"119km NNW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-03-06T10:02:28.450Z,36.0113335,-120.5728302,2.08,0.82,md,12,111,0.02943,0.06,nc,nc73350350,2020-03-06T10:20:03.575Z,"18km NW of Parkfield, CA",earthquake,0.37,1.17,0.09,3,automatic,nc,nc
2020-03-06T09:44:19.140Z,45.1913333,-112.7688333,9.95,1,ml,10,181,0.21,0.06,mb,mb80384269,2020-03-06T14:52:04.040Z,"10km WSW of Dillon, Montana",earthquake,0.5,1.14,0.295,4,reviewed,mb,mb
2020-03-06T09:33:20.090Z,33.5876667,-116.8076667,4.81,0.63,ml,39,33,0.03686,0.17,ci,ci38384930,2020-03-06T17:59:08.150Z,"13km WNW of Anza, CA",earthquake,0.22,0.36,0.125,20,reviewed,ci,ci
2020-03-06T09:18:18.190Z,42.4435,-111.3646667,6.66,1.91,ml,15,126,0.3763,0.16,uu,uu60362307,2020-03-06T17:04:21.270Z,"14km NNW of Montpelier, Idaho",earthquake,0.53,0.77,0.334,3,reviewed,uu,uu
2020-03-06T09:14:54.347Z,48.5183,154.8684,51.75,4.4,mb,,131,4.933,0.57,us,us60008axc,2020-03-06T09:33:53.040Z,"256km SSW of Severo-Kuril'sk, Russia",earthquake,12.4,8.5,0.117,21,reviewed,us,us
2020-03-06T08:22:16.584Z,45.6065,-73.5661,9.43,2.7,mb_lg,,147,0.113,0.7,us,us60008awg,2020-03-06T17:56:17.124Z,"5km WSW of Montreal-Est, Canada",earthquake,2,2.6,0.124,17,reviewed,us,us
2020-03-06T08:08:35.280Z,19.2313328,-155.4055023,30.93,2.18,ml,54,138,0.09255,0.13,hv,hv71414547,2020-03-06T08:14:09.090Z,"8km ENE of Pahala, Hawaii",earthquake,0.47,0.62,2.99,9,automatic,hv,hv
2020-03-06T08:03:38.940Z,37.5221667,-118.8631667,5.37,0.47,md,7,220,0.07295,0.1,nc,nc73350340,2020-03-06T17:40:03.589Z,"16km SE of Mammoth Lakes, CA",earthquake,0.9,2.27,0.216,7,reviewed,nc,nc
2020-03-06T07:59:25.070Z,17.9533,-67.0018,5,2.35,md,6,219,0.1202,0.15,pr,pr2020066010,2020-03-06T08:13:01.667Z,"5km ESE of La Parguera, Puerto Rico",earthquake,0.89,0.7,0.04,5,reviewed,pr,pr
2020-03-06T07:50:25.710Z,17.9633,-66.7393,13,2.81,md,6,218,0.1404,0.24,pr,pr2020066009,2020-03-06T08:09:36.120Z,"4km SW of Tallaboa, Puerto Rico",earthquake,3.54,0.76,0.48,5,reviewed,pr,pr
2020-03-06T07:45:42.500Z,38.7981682,-122.7354965,0.89,0.15,md,7,107,0.01494,0.01,nc,nc73350335,2020-03-06T08:21:04.021Z,"3km SSW of Cobb, CA",earthquake,0.29,0.91,0.07,2,automatic,nc,nc
2020-03-06T07:45:15.230Z,38.7970009,-122.7350006,1.02,1.16,md,18,101,,0.05,nc,nc73350330,2020-03-06T10:49:03.786Z,"3km NE of The Geysers, CA",earthquake,0.26,0.46,0.19,5,automatic,nc,nc
2020-03-06T07:26:44.782Z,57.2511,-153.7326,37.9,2.1,ml,,,,0.47,ak,ak020319slwi,2020-03-06T07:31:46.661Z,"35km SSE of Larsen Bay, Alaska",earthquake,,1,,,automatic,ak,ak
2020-03-06T07:25:19.660Z,17.9633,-66.7321,11,2.86,md,7,219,0.1476,0.09,pr,pr2020066008,2020-03-06T15:27:54.138Z,"3km SSW of Tallaboa, Puerto Rico",earthquake,1.82,0.61,0.38,6,reviewed,pr,pr
2020-03-06T07:24:38.170Z,35.5781667,-117.4056667,3.5,1.06,ml,16,157,0.04683,0.2,ci,ci38384922,2020-03-06T07:28:20.036Z,"21km S of Trona, CA",earthquake,0.5,0.79,0.212,12,automatic,ci,ci
2020-03-06T06:51:13.730Z,38.8436661,-122.8395004,1.71,0.58,md,15,131,0.00596,0.02,nc,nc73350320,2020-03-06T07:22:02.463Z,"10km NW of The Geysers, CA",earthquake,0.27,0.48,0.38,2,automatic,nc,nc
2020-03-06T06:47:13.440Z,46.3568333333333,-122.328666666667,16.88,0.34,ml,8,263,,0.09,uw,uw61585221,2020-03-06T16:32:39.020Z,"22km S of Morton, Washington",earthquake,0.59,0.78,0.0673069200362461,6,reviewed,uw,uw
2020-03-06T06:45:17.488Z,64.8895,-149.1146,1.1,1.3,ml,,,,0.73,ak,ak020319b6oh,2020-03-06T06:48:47.756Z,"34km N of North Nenana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-06T06:35:53.160Z,45.3841667,-112.562,5.69,0.39,ml,5,127,0.033,0.09,mb,mb80384314,2020-03-06T16:24:25.540Z,"19km NNE of Dillon, Montana",earthquake,0.7,1.02,0.228,2,reviewed,mb,mb
2020-03-06T06:35:38.658Z,63.9967,-148.8218,1.7,1.6,ml,,,,0.92,ak,ak020319939l,2020-03-06T06:43:08.194Z,"17km NNE of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-06T06:31:34.050Z,38.7891655,-122.7699966,1.68,0.45,md,11,83,0.01398,0.02,nc,nc73350315,2020-03-06T06:59:03.319Z,"2km NW of The Geysers, CA",earthquake,0.29,0.6,0.38,3,automatic,nc,nc
